"used","BCP 47","Writing system (ISO 15924 codes)","Writing system name (English)","ZomboDB analyzer","Language name (and writing system) in English","Directionality","Local language name","Romanized language name","English Wikipedia article","Local Wikipedia article","Comment","TODO USE THIS:","https://github.com/unicode-org/cldr-json/blob/master/cldr-json/cldr-localenames-modern/main/nl/languages.json"
,"mo","Latn","Latin",,"Moldovan","ltr","Moldovenească",,"en:Moldovan language",,,,
,"mr","Deva","Devanagari (Nagari)",,"Marathi","ltr","मराठी",,"en:Marathi language",,,,
,"mrh",,,,"Mara","ltr","Mara",,"en:Mara language",,,,
"y","mrw","Latn","Latin",,"Maranao","ltr","Maranao",,"en:Maranao language",,"NO ISO CODE",,
"y","ms","Latn","Latin",,"Malay","ltr","Bahasa Melayu",,"en:Malay language",,,,
,"mt","Latn","Latin",,"Maltese","ltr","bil-Malti",,"en:Maltese language",,,,
,"mus",,,,"Creek / Muskogee","ltr","Mvskoke",,"en:Muscogee language",,,,
,"mwl",,,,"Mirandese","ltr","Mirandés",,"en:Miandese language","mwl:Lhéngua mirandesa",,,
,"my","Mymr","Burmese alphabet",,"Burmese","ltr","မြန်မာအက္ခရာ",,"en:Burmese language",,,,
,"na","Latn","Latin",,"Nauruan","ltr","Dorerin Naoero",,"en:Nauruan language",,,,
,"nah",,,,"Nahuatl","ltr","Nahuatl",,"en:Nahuatl language",,,,
,"nap","Latn","Latin",,"Neapolitan","ltr","Nnapulitano",,"en:Neapolitan language",,,,
,"nb","Latn","Latin",,"Norwegian Bokmål","ltr","Norsk (bokmål)",,"en:Bokmål",,,,
,"nd",,,,"North Ndebele","ltr","Sindebele",,"en:Northern Ndebele language",,,,
,"nds","Latn","Latin",,"Low German / Low Saxon","ltr","Plattdüütsch",,"en:Low Saxon language",,,,
,"ne","Deva","Devanagari (Nagari)",,"Nepali","ltr","नेपाली",,"en:Nepali language",,,,
,"new","-","Rañjanā script",,"Newar","ltr","नेपालभाषा","Newah Bhaye","en:Nepal Bhasa language",,,,
,"ng",,,,"Ndonga","ltr","Oshiwambo",,"en:Ndonga language",,,,
"y","nl","Latn","Latin","dutch","Dutch","ltr","Nederlands",,"en:Dutch language","nl:Nederlands",,,
,"nn","Latn","Latin",,"Norwegian Nynorsk","ltr","Norsk (nynorsk)",,"en:Nynorsk language",,,,
"y","no","Latn","Latin","norwegian","Norwegian","ltr","Norsk (bokmål / riksmål)",,"en:Norwegian language","no:Norsk",,,
,"nr",,,,"South Ndebele","ltr","isiNdebele",,"en:Southern Ndebele language",,,,
,"nrm",,,,"Norman","ltr","Nouormand / Normaund",,"en:Norman language",,,,
,"nso",,,,"Northern Sotho","ltr","Sesotho sa Leboa / Sepedi",,"en:Northern Sotho language",,,,
,"nv",,,,"Navajo","ltr","Diné bizaad",,"en:Navajo language",,,,
,"ny",,,,"Chichewa","ltr","Chi-Chewa",,"en:Chichewa language",,,,
